playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
1,Night Tales (Original Mix),Bross (RO),1,Night Tales (Original Mix) Bross (RO),0,2967,N,,N
1,Night Tales (Original Mix),Bross (RO),2,Bross (RO) Night Tales (Original Mix),33,7762,Y,1,N
1,Night Tales (Original Mix),Bross (RO),3,Night Tales Bross (RO),6,2243,N,,N
1,Night Tales (Original Mix),Bross (RO),4,Bross (RO) Night Tales,25,8800,N,,Y
2,Mystika (Original Mix),DSF,1,Mystika (Original Mix) DSF,6,2780,Y,1,N
2,Mystika (Original Mix),DSF,2,DSF Mystika (Original Mix),6,2380,N,,N
2,Mystika (Original Mix),DSF,3,Mystika DSF,6,3272,N,,N
2,Mystika (Original Mix),DSF,4,DSF Mystika,13,11181,N,,Y
3,The Night is Blue,Tim Green,1,The Night is Blue Tim Green,0,3455,N,,N
3,The Night is Blue,Tim Green,2,Tim Green The Night is Blue,6,3751,N,,Y
4,Sebastien Leger - Son of Sun (Orginal Mix),,1,Son of Sun (Orginal Mix) Sebastien Leger,11,3055,Y,1,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,2,Sebastien Leger Son of Sun (Orginal Mix),51,10463,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,3,Son of Sun Sebastien Leger,135,11872,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,4,Sebastien Leger Son of Sun,33,11960,N,,Y
5,Matangi,Makebo,1,Matangi Makebo,0,3761,N,,N
5,Matangi,Makebo,2,Makebo Matangi,0,4846,N,,Y
6,Never Been,"Gorje Hewek, Amonita, Makebo",1,Never Been Gorje Hewek,0,3482,N,,N
6,Never Been,"Gorje Hewek, Amonita, Makebo",2,Gorje Hewek Never Been,6,6924,N,,N
6,Never Been,"Gorje Hewek, Amonita, Makebo",3,Never Been Amonita,19,11081,Y,7,Y
7,The Love Goes First (Original Mix),Maxi Degrassi,1,The Love Goes First (Original Mix) Maxi Degrassi,0,3519,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,2,Maxi Degrassi The Love Goes First (Original Mix),41,11426,Y,1,N
7,The Love Goes First (Original Mix),Maxi Degrassi,3,The Love Goes First Maxi Degrassi,6,3387,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,4,Maxi Degrassi The Love Goes First,31,14206,N,,Y
8,Fatoumata (Original Mix),Volen Sentir,1,Fatoumata (Original Mix) Volen Sentir,0,3604,N,,N
8,Fatoumata (Original Mix),Volen Sentir,2,Volen Sentir Fatoumata (Original Mix),6,6905,Y,5,N
8,Fatoumata (Original Mix),Volen Sentir,3,Fatoumata Volen Sentir,6,3564,N,,N
8,Fatoumata (Original Mix),Volen Sentir,4,Volen Sentir Fatoumata,6,8268,N,,Y
9,Honey (feat Animor - original mix),Soame,1,Honey (Original Mix) Soame,6,3499,Y,3,N
9,Honey (feat Animor - original mix),Soame,2,Soame Honey (Original Mix),6,5623,N,,N
9,Honey (feat Animor - original mix),Soame,3,Honey Soame,6,3326,N,,N
9,Honey (feat Animor - original mix),Soame,4,Soame Honey,6,8083,N,,N
9,Honey (feat Animor - original mix),Soame,5,Honey (feat Animor - original mix) Soame,6,2300,N,,N
9,Honey (feat Animor - original mix),Soame,6,Soame Honey (feat Animor - original mix),6,6190,N,,Y
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,1,Sunday Morning Juno Francis,6,3196,Y,1,N
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,2,Juno Francis Sunday Morning,35,16925,N,,Y
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",1,Don't Call (Guy Gerber Rework) Guy Gerber,160,25126,Y,1,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",2,Guy Gerber Don't Call (Guy Gerber Rework),111,33408,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",3,Don't Call (Guy Gerber Rework) Desire,34,14884,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",4,Desire Don't Call (Guy Gerber Rework),152,24244,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",5,Don't Call (Guy Gerber Rework) Guy Gerber Desire,150,15948,N,,Y
12,[3] Speed Of Sound,"El Mundo, Zazou",1,Speed Of Sound El Mundo,0,2685,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",2,El Mundo Speed Of Sound,0,3525,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",3,Speed Of Sound Zazou,16,8652,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",4,Zazou Speed Of Sound,25,30202,Y,1,Y
13,Guava (Extended Mix),Tunnelvisions,1,Guava (Extended Mix) Tunnelvisions,6,2888,Y,2,N
13,Guava (Extended Mix),Tunnelvisions,2,Tunnelvisions Guava (Extended Mix),14,9374,N,,Y
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,1,Flip Of The Coin (feat Zoe Kypri - extended mix) Bajau,6,2293,Y,4,N
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,2,Bajau Flip Of The Coin (feat Zoe Kypri - extended mix),6,8534,N,,Y
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",1,Bird Of Prey (Original Mix) Thomas Schwartz,6,2077,Y,2,N
