playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/19404397,19404397,Night Tales Extended Mix,LEMON (RO),F Minor,4A,2024,123,Pulse. Records,"Afro House, Afro House|Afro / Latin, Organic House, Melodic House & Techno",,2024-08-22,100.0,50,77.5,0,0,84.0,Y,,1,Night Tales (Original Mix) Bross (RO),8,537,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/friends/17474644,17474644,Friends Original Mix,Night Tales,Ab Minor,1A,2018,118,Craft Recordings,"Dance / Pop, Mainstage|Future House",,2018-11-30,33.33333333333333,10,22.8,0,0,29.8,N,guard_artist_sim_no_overlap,1,Night Tales (Original Mix) Bross (RO),10,604,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/late-night-shopping/20116991,20116991,Late Night Shopping YokoO's Morning Dub,"Bross (RO), YokoO",D Major,10B,2025,127,SATYA,Deep House,,2025-04-11,62.5,100,79.4,0,0,70.4,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),7,664,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales-original-mix/16871497,16871497,Night Tales Original Mix,"Ignacio Berardi, Franco Armellini",G Major,9B,2022,122,The Soundgarden,Progressive House,,2022-09-09,100.0,34,70.3,0,0,78.8,Y,,1,Night Tales (Original Mix) Bross (RO),3,782,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/straight-to-the-heart-original-mix/9532620,9532620,Straight To The Heart Original Mix,Bedouin,Gb Minor,11A,2017,116,All Day I Dream,"Deep House, House",,2017-07-28,43.75,26,35.8,0,0,42.8,N,guard_low_artist_high_title_required,1,Night Tales (Original Mix) Bross (RO),5,1213,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/dansul-ielelor/16082487,16082487,Dansul Ielelor Original Mix,Bross (RO),A Minor,8A,2021,123,Mirrors Label,Organic House,,2021-12-28,32.0,100,62.6,0,0,69.6,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),6,1283,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/late-night-shopping/20116990,20116990,Late Night Shopping Original Mix,Bross (RO),G Minor,6A,2025,128,SATYA,"Deep House, Minimal / Deep Tech|Deep Tech, Minimal / Deep Tech",,2025-04-11,62.5,100,79.4,0,0,86.4,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),2,1436,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/12327901,12327901,Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,Deep House,,2019-08-09,100.0,100,100.0,0,0,108.5,Y,,1,Night Tales (Original Mix) Bross (RO),1,1480,Y
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/volga-extended-mix/11910263,11910263,Volga Extended Mix,"Bona Fide, M.O.S.",D Minor,7A,2019,120,Anjunadeep,Organic House,,2019-05-07,25.0,35,29.5,0,0,34.5,N,guard_low_artist_high_title_required,1,Night Tales (Original Mix) Bross (RO),4,1654,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/la-caminata/14533382,14533382,La Caminata Original Mix,"Bross (RO), VICTHOR",E Major,12B,2020,122,All Day I Dream,"Organic House, Melodic House & Techno, Afro House",,2020-12-11,36.36363636363637,100,65.0,0,0,72.0,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),9,1773,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/11324958,11324958,Night Tales Original Mix,Hoolz,B Minor,10A,2018,123,KitchenSync Records,"Electronica, Downtempo",,2018-12-12,100.0,30,68.5,0,0,77.0,Y,,2,Bross (RO) Night Tales (Original Mix),3,426,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/beekind/13074460,13074460,BeeKind Original Mix,Bross (RO),E Major,12B,2020,120,COYA MUSIC,"Afro House, Organic House, Afro House|Afro / Latin, Melodic House & Techno",,2020-02-06,11.111111111111114,100,51.1,0,0,58.1,N,guard_short_title_high_floor,2,Bross (RO) Night Tales (Original Mix),4,565,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/i-hear-the-drums/9259956,9259956,I Hear the Drums Original Mix,Bross (RO),C Major,8B,2017,120,Crossfade Sounds,"Deep House, House, Minimal / Deep Tech",,2017-05-08,29.629629629629633,100,61.3,0,0,68.3,N,guard_short_title_high_floor,2,Bross (RO) Night Tales (Original Mix),6,597,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales-original-mix/12327901,12327901,Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,Deep House,,2019-08-09,100.0,100,100.0,0,0,108.5,Y,,2,Bross (RO) Night Tales (Original Mix),1,1193,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/beekind-original-mix/13536195,13536195,,,,,,,,,,,0.0,0,0.0,0,0,1.0,N,no_title,2,Bross (RO) Night Tales (Original Mix),5,1268,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/4-meditation/12371715,12371715,4 Meditation Original Mix,"Kevin Di Serna, Guhus",G Minor,6A,2019,110,Balance Music,"Deep House, Minimal / Deep Tech",,2019-08-02,26.086956521739125,18,22.4,0,0,29.4,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),9,1409,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/little-helper-353-6/11820665,11820665,Little Helper 353-6 Original Mix,Odd Man Out,E Minor,9A,2019,124,Little Helpers,"Minimal / Deep Tech, Minimal / Deep Tech|Deep Tech, Deep House",,2019-08-06,33.33333333333333,31,32.3,0,0,39.3,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),11,1519,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/ko-sar-ra-di/12024984,12024984,Ko Sar Ra Di Original Mix,Basti Grub,E Major,12B,2019,124,Hoehenregler Records,"Afro House, Melodic House & Techno, Melodic House & Techno|Melodic House, Progressive House",,2019-06-14,34.78260869565217,44,38.9,0,0,45.9,N,guard_title_token_coverage,2,Bross (RO) Night Tales (Original Mix),10,2007,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/one/12164559,12164559,One Original Mix,"Lee Burridge, Simon Vuarambon, Lost Desert",A Minor,8A,2019,120,All Day I Dream,Deep House,,2019-07-19,28.57142857142857,34,31.0,0,0,35.0,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),7,2442,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/erhu/11280622,11280622,Erhu Original Mix,Yamil,B Minor,10A,2018,122,Low Groove Records,"Minimal / Deep Tech, Deep House, House",,2018-12-07,13.333333333333329,0,7.3,0,0,14.3,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),13,1925,N
