playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
1,Night Tales (Original Mix),Bross (RO),1,Night Tales (Original Mix) Bross (RO),10,3469,Y,1,N
1,Night Tales (Original Mix),Bross (RO),2,Bross (RO) Night Tales (Original Mix),15,12345,N,,N
1,Night Tales (Original Mix),Bross (RO),3,Night Tales Bross (RO),6,5142,N,,N
1,Night Tales (Original Mix),Bross (RO),4,Bross (RO) Night Tales,32,11537,N,,N
1,Night Tales (Original Mix),Bross (RO),5,Night Tales (Original Mix) (Original Mix) Bross (RO),6,6043,N,,N
1,Night Tales (Original Mix),Bross (RO),6,Bross (RO) Night Tales (Original Mix) (Original Mix),43,7495,N,,Y
2,Mystika (Original Mix),DSF,1,Mystika (Original Mix) DSF,6,6770,Y,1,N
2,Mystika (Original Mix),DSF,2,DSF Mystika (Original Mix),6,7478,N,,N
2,Mystika (Original Mix),DSF,3,Mystika DSF,6,8370,N,,N
2,Mystika (Original Mix),DSF,4,DSF Mystika,14,10338,N,,N
2,Mystika (Original Mix),DSF,5,Mystika (Original Mix) (Original Mix) DSF,6,2107,N,,N
2,Mystika (Original Mix),DSF,6,DSF Mystika (Original Mix) (Original Mix),50,10337,N,,Y
3,The Night is Blue,Tim Green,1,The Night is Blue Tim Green,6,7809,N,,N
3,The Night is Blue,Tim Green,2,Tim Green The Night is Blue,153,20896,Y,20,Y
4,Sebastien Leger - Son of Sun (Orginal Mix),,1,Sebastien Leger - Son of Sun (Orginal Mix) Sebastien Leger,16,17684,Y,1,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,2,Sebastien Leger Sebastien Leger - Son of Sun (Orginal Mix),16,11459,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,3,Son of Sun Sebastien Leger,6,7066,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,4,Sebastien Leger Son of Sun,60,12570,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,5,Son of Sun (Orginal Mix) Sebastien Leger,6,3001,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,6,Sebastien Leger Son of Sun (Orginal Mix),32,13202,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,7,Sebastien Leger - Son of Sun Sebastien Leger,34,11820,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,8,Sebastien Leger Sebastien Leger - Son of Sun,50,11872,N,,Y
5,Matangi,Makebo,1,Matangi Makebo,6,7588,Y,1,N
5,Matangi,Makebo,2,Makebo Matangi,6,18821,N,,Y
