playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/changes-adam-port-remix/10170797,10170797,Changes Adam Port Remix,"Stereo MC's, Adam Port, Changes Adam Port",E Major,12B,2018,122,Freerange Records,"Deep House, House",,2018-01-19,30.303030303030297,100,61.7,0,0,59.7,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,1,410,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/sonnenfinsternis/8049671,8049671,Sonnenfinsternis Original Mix,Adam Port,G Major,9B,2016,90,Keinemusik,"Tech House, House",,2016-06-24,23.07692307692308,100,57.7,0,0,82.7,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,4,451,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/adam-port-working-for-it-feat-jennifer-touch-original-mix/8049672,8049672,Working For It Feat. Jennifer Touch Original Mix,"Adam Port, Jennifer Touch",G Major,9B,2016,122,Keinemusik,"Deep House, House",,2016-06-24,25.0,100,58.8,0,0,83.8,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,6,532,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/white-noise-romantica-original-mix/13602014,13602014,White Noise Romantica Original Mix,Adam Port,C Major,8B,2020,121,Keinemusik,"Melodic House & Techno, Afro House",,2020-05-29,25.80645161290323,100,59.2,0,0,28.2,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,2,653,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/say-what-feat-chuala/19657454,19657454,Say What (feat. Chuala) feat. Chuala,"&ME, Rampa, Adam Port, Keinemusik, chuala",C Major,8B,2024,120,Keinemusik,"Afro House, Afro House|Afro Melodic, Afro House|Afro / Latin",,2024-10-25,33.33333333333333,100,63.3,0,0,47.3,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,7,729,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/thandaza-feat-alan-dixon-arabic-piano/18778205,18778205,"Thandaza (feat. Alan Dixon, Arabic Piano) Original Mix","&ME, Rampa, Adam Port, Keinemusik, Alan Dixon, Arabic Piano",Gb Minor,11A,2024,123,Keinemusik,"Melodic House & Techno, Afro House, Afro House|Afro Melodic, Melodic House & Techno|Melodic House",,2024-03-15,22.22222222222223,100,52.6,0,0,20.6,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,12,628,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/a-state-nearby-adam-port-calypso-instrumental-mix/10276600,10276600,A State Nearby Adam Port Calypso Instrumental Mix,"Stella, NTEIBINT, Adam Port",F Major,7B,2018,118,Eskimo Recordings,"Afro House, Melodic House & Techno",,2018-03-23,23.728813559322035,100,58.1,0,0,42.1,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,3,1119,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/see-you-again/20965348,20965348,See You Again Original Mix,"&ME, Rampa, Adam Port, Keinemusik, Sevdaliza",Bb Minor,3A,2025,120,Keinemusik,"Melodic House & Techno, Melodic House & Techno|Melodic House",,2025-08-15,26.086956521739125,100,59.3,0,0,25.3,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,13,696,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/move/19623884,19623884,Move Original Mix,"Adam Port, Keinemusik, Camila Cabello, Orso, Stryv, Malachiii",Ab Minor,1A,2024,120,Keinemusik under exclusive license to Interscope Records,Afro House,,2024-10-11,14.285714285714292,100,48.6,0,0,16.6,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,14,1076,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/positions/20674436,20674436,Positions Extended,"Adam Port, Stryv, Malachiii",Ab Minor,1A,2025,122,"Stryv, Malachiii, Adam Port","Afro House, Afro House|Afro Melodic",,2025-06-27,21.42857142857143,100,56.8,0,0,40.8,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,9,1825,N
