playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
1,Night Tales (Original Mix),Bross (RO),1,Night Tales (Original Mix) Bross (RO),6,7406,Y,1,N
1,Night Tales (Original Mix),Bross (RO),2,Bross (RO) Night Tales (Original Mix),33,15466,N,,N
1,Night Tales (Original Mix),Bross (RO),3,Night Tales Bross (RO),6,6120,N,,N
1,Night Tales (Original Mix),Bross (RO),4,Bross (RO) Night Tales,25,16166,N,,N
1,Night Tales (Original Mix),Bross (RO),5,Night Tales (Original Mix) (Original Mix) Bross (RO),6,6724,N,,N
1,Night Tales (Original Mix),Bross (RO),6,Bross (RO) Night Tales (Original Mix) (Original Mix),24,15013,N,,Y
2,Mystika (Original Mix),DSF,1,Mystika (Original Mix) DSF,6,7097,Y,1,N
2,Mystika (Original Mix),DSF,2,DSF Mystika (Original Mix),6,6569,N,,N
2,Mystika (Original Mix),DSF,3,Mystika DSF,6,7993,N,,N
2,Mystika (Original Mix),DSF,4,DSF Mystika,13,18255,N,,N
2,Mystika (Original Mix),DSF,5,Mystika (Original Mix) (Original Mix) DSF,6,6727,N,,N
2,Mystika (Original Mix),DSF,6,DSF Mystika (Original Mix) (Original Mix),50,17375,N,,Y
3,The Night is Blue,Tim Green,1,The Night is Blue Tim Green,6,16921,N,,N
3,The Night is Blue,Tim Green,2,Tim Green The Night is Blue,6,8330,N,,Y
4,Sebastien Leger - Son of Sun (Orginal Mix),,1,Sebastien Leger - Son of Sun (Orginal Mix) Sebastien Leger,6,17056,Y,1,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,2,Sebastien Leger Sebastien Leger - Son of Sun (Orginal Mix),16,18296,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,3,Son of Sun Sebastien Leger,135,21465,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,4,Sebastien Leger Son of Sun,33,18265,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,5,Son of Sun (Orginal Mix) Sebastien Leger,41,19276,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,6,Sebastien Leger Son of Sun (Orginal Mix),51,15829,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,7,Sebastien Leger - Son of Sun Sebastien Leger,38,16378,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,8,Sebastien Leger Sebastien Leger - Son of Sun,43,18707,N,,Y
5,Matangi,Makebo,1,Matangi Makebo,6,7472,Y,1,N
5,Matangi,Makebo,2,Makebo Matangi,44,23703,N,,Y
6,Never Been,"Gorje Hewek, Amonita, Makebo",1,Never Been Gorje Hewek,0,8332,N,,N
6,Never Been,"Gorje Hewek, Amonita, Makebo",2,Gorje Hewek Never Been,16,20808,Y,7,Y
7,The Love Goes First (Original Mix),Maxi Degrassi,1,The Love Goes First (Original Mix) Maxi Degrassi,0,8204,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,2,Maxi Degrassi The Love Goes First (Original Mix),41,17401,Y,1,N
7,The Love Goes First (Original Mix),Maxi Degrassi,3,The Love Goes First Maxi Degrassi,6,7857,N,,N
