playlist_index,original_title,original_artists,beatport_title,beatport_artists,beatport_key,beatport_key_camelot,beatport_year,beatport_bpm,beatport_label,beatport_genres,beatport_release,beatport_release_date,beatport_track_id,beatport_url,title_sim,artist_sim,match_score,confidence,search_query_index,search_stop_query_index,candidate_index
1,Night Tales (Original Mix),Bross (RO),Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,"Deep House, House",,2019-08-09,12327901,https://www.beatport.com/track/night-tales/12327901,100.0,100,108.5,high,1,6,2
2,Mystika (Original Mix),DSF,Mystika Original Mix,DSF,A# Minor,3A,2019,120,All Day I Dream,"Deep House, House",,2019-07-05,12075117,https://www.beatport.com/track/mystika/12075117,100.0,100,108.5,high,1,6,1
3,The Night is Blue,Tim Green,,,,,,,,,,,,,0,0,0.0,low,0,0,0
4,Sebastien Leger - Son of Sun (Orginal Mix),,Son of Sun Original Mix,Sebastien Leger,F Minor,4A,2021,121,All Day I Dream,"Organic House, Melodic House & Techno, Progressive House",,2021-08-06,15351500,https://www.beatport.com/track/son-of-sun/15351500,100.0,100,88.5,med,1,6,1
5,Matangi,Makebo,Matangi Original Mix,"Amonita, Makebo",E Minor,9A,2021,120,Rubicunda,"Organic House, Progressive House, Melodic House & Techno",,2021-12-09,15959065,https://www.beatport.com/track/matangi/15959065,100.0,100,106.5,high,1,2,1
6,Never Been,"Gorje Hewek, Amonita, Makebo",Never Been Original Mix,"Gorje Hewek, Amonita, Makebo",E Minor,9A,2023,122,Shanti Radio,Organic House,,2023-01-12,17224758,https://www.beatport.com/track/never-been/17224758,100.0,100,105.5,high,1,2,7
7,The Love Goes First (Original Mix),Maxi Degrassi,The Love Goes First Original Mix,Maxi Degrassi,G Minor,6A,2020,120,All Day I Dream,"Organic House, Afro House, Melodic House & Techno",,2020-11-13,14413341,https://www.beatport.com/track/the-love-goes-first/14413341,100.0,100,108.5,high,1,6,1
8,Fatoumata (Original Mix),Volen Sentir,Fatoumata Original Mix,Volen Sentir,D Minor,7A,2019,121,Kontor Records,"Electronica, Downtempo",,2019-05-24,11948198,https://www.beatport.com/track/fatoumata/11948198,100.0,100,108.5,high,2,6,3
9,Honey (feat Animor - original mix),Soame,Honey Original Mix,"SOAME, Animor",C Major,8B,2022,120,Natura Viva In The Mix,"Deep House, Minimal / Deep Tech, House, Minimal / Deep Tech|Deep Tech",,2022-11-04,17021867,https://www.beatport.com/track/honey/17021867,100.0,100,108.5,high,1,8,5
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,Sunday Morning Original Mix,"Alejandro Molinari, Juno Francis",A Minor,8A,2021,119,Italians Do It Better,"Electronica, Downtempo",,2021-02-26,14986443,https://www.beatport.com/track/sunday-morning/14986443,100.0,100,106.5,high,1,2,1
