playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
1,Night Tales (Original Mix),Bross (RO),1,Night Tales (Original Mix) Bross (RO),6,7057,Y,2,N
1,Night Tales (Original Mix),Bross (RO),2,Bross (RO) Night Tales (Original Mix),33,17294,N,,N
1,Night Tales (Original Mix),Bross (RO),3,Night Tales Bross (RO),6,6166,N,,N
1,Night Tales (Original Mix),Bross (RO),4,Bross (RO) Night Tales,25,18194,N,,N
1,Night Tales (Original Mix),Bross (RO),5,Night Tales (Original Mix) (Original Mix) Bross (RO),6,7033,N,,N
1,Night Tales (Original Mix),Bross (RO),6,Bross (RO) Night Tales (Original Mix) (Original Mix),24,15484,N,,Y
2,Mystika (Original Mix),DSF,1,Mystika (Original Mix) DSF,6,7344,Y,1,N
2,Mystika (Original Mix),DSF,2,DSF Mystika (Original Mix),6,5970,N,,N
2,Mystika (Original Mix),DSF,3,Mystika DSF,6,8074,N,,N
2,Mystika (Original Mix),DSF,4,DSF Mystika,13,20917,N,,N
2,Mystika (Original Mix),DSF,5,Mystika (Original Mix) (Original Mix) DSF,6,7314,N,,N
2,Mystika (Original Mix),DSF,6,DSF Mystika (Original Mix) (Original Mix),50,16825,N,,Y
3,The Night is Blue,Tim Green,1,The Night is Blue Tim Green,6,17437,N,,N
3,The Night is Blue,Tim Green,2,Tim Green The Night is Blue,6,9411,N,,Y
4,Sebastien Leger - Son of Sun (Orginal Mix),,1,Sebastien Leger - Son of Sun (Orginal Mix) Sebastien Leger,6,18198,Y,1,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,2,Sebastien Leger Sebastien Leger - Son of Sun (Orginal Mix),16,15451,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,3,Son of Sun Sebastien Leger,135,21589,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,4,Sebastien Leger Son of Sun,0,8829,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,5,Son of Sun (Orginal Mix) Sebastien Leger,6,6597,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,6,Sebastien Leger Son of Sun (Orginal Mix),51,16455,N,,Y
5,Matangi,Makebo,1,Matangi Makebo,6,7642,Y,1,N
5,Matangi,Makebo,2,Makebo Matangi,6,16921,N,,Y
6,Never Been,"Gorje Hewek, Amonita, Makebo",1,Never Been Gorje Hewek,15,21717,Y,7,N
6,Never Been,"Gorje Hewek, Amonita, Makebo",2,Gorje Hewek Never Been,16,19522,N,,Y
7,The Love Goes First (Original Mix),Maxi Degrassi,1,The Love Goes First (Original Mix) Maxi Degrassi,6,7139,Y,1,N
7,The Love Goes First (Original Mix),Maxi Degrassi,2,Maxi Degrassi The Love Goes First (Original Mix),41,18730,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,3,The Love Goes First Maxi Degrassi,6,7941,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,4,Maxi Degrassi The Love Goes First,31,21646,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,5,The Love Goes First (Original Mix) (Original Mix) Maxi Degrassi,0,6796,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,6,Maxi Degrassi The Love Goes First (Original Mix) (Original Mix),107,17365,N,,Y
8,Fatoumata (Original Mix),Volen Sentir,1,Fatoumata (Original Mix) Volen Sentir,0,8048,N,,N
8,Fatoumata (Original Mix),Volen Sentir,2,Volen Sentir Fatoumata (Original Mix),6,14324,Y,3,N
8,Fatoumata (Original Mix),Volen Sentir,3,Fatoumata Volen Sentir,6,7979,N,,N
8,Fatoumata (Original Mix),Volen Sentir,4,Volen Sentir Fatoumata,6,18672,N,,N
8,Fatoumata (Original Mix),Volen Sentir,5,Fatoumata (Original Mix) (Original Mix) Volen Sentir,6,6206,N,,N
8,Fatoumata (Original Mix),Volen Sentir,6,Volen Sentir Fatoumata (Original Mix) (Original Mix),6,15534,N,,Y
9,Honey (feat Animor - original mix),Soame,1,Honey (feat Animor - original mix) Soame,6,7863,Y,5,N
9,Honey (feat Animor - original mix),Soame,2,Soame Honey (feat Animor - original mix),0,6099,N,,N
9,Honey (feat Animor - original mix),Soame,3,Honey Soame,6,7917,N,,N
9,Honey (feat Animor - original mix),Soame,4,Soame Honey,10,16920,N,,N
9,Honey (feat Animor - original mix),Soame,5,Honey (feat Animor - original mix) (Original Mix) Soame,6,6778,N,,N
9,Honey (feat Animor - original mix),Soame,6,Soame Honey (feat Animor - original mix) (Original Mix),6,14813,N,,N
9,Honey (feat Animor - original mix),Soame,7,Honey (Original Mix) Soame,0,7756,N,,N
9,Honey (feat Animor - original mix),Soame,8,Soame Honey (Original Mix),6,15224,N,,Y
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,1,Sunday Morning Juno Francis,6,9457,Y,1,N
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,2,Juno Francis Sunday Morning,35,26085,N,,Y
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",1,Don't Call (Guy Gerber Rework) Guy Gerber,160,23394,Y,1,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",2,Guy Gerber Don't Call (Guy Gerber Rework),111,21372,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",3,Don't Call (Guy Gerber Rework) Desire,0,6971,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",4,Desire Don't Call (Guy Gerber Rework),152,18311,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",5,Don't Call (Guy Gerber Rework) Guy Gerber Desire,150,16252,N,,Y
12,[3] Speed Of Sound,"El Mundo, Zazou",1,[3] Speed Of Sound El Mundo,16,24237,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",2,El Mundo [3] Speed Of Sound,6,8565,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",3,[3] Speed Of Sound Zazou,8,18247,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",4,Zazou [3] Speed Of Sound,0,8320,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",5,[3] Speed Of Sound El Mundo Zazou,23,23196,Y,9,Y
13,Guava (Extended Mix),Tunnelvisions,1,Guava (Extended Mix) Tunnelvisions,6,6293,Y,2,N
13,Guava (Extended Mix),Tunnelvisions,2,Tunnelvisions Guava (Extended Mix),14,16843,N,,Y
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,1,Flip Of The Coin (feat Zoe Kypri - extended mix) Bajau,6,6248,Y,1,N
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,2,Bajau Flip Of The Coin (feat Zoe Kypri - extended mix),6,16112,N,,Y
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",1,Bird Of Prey (Original Mix) Thomas Schwartz,6,6164,Y,1,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",2,Thomas Schwartz Bird Of Prey (Original Mix),6,14428,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",3,Bird Of Prey (Original Mix) Fausto Fanizza,6,6264,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",4,Fausto Fanizza Bird Of Prey (Original Mix),43,19430,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",5,Bird Of Prey (Original Mix) Thomas Schwartz Fausto Fanizza,6,6049,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",6,Thomas Schwartz Fausto Fanizza Bird Of Prey (Original Mix),43,15839,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",7,Bird Of Prey (Original Mix) Thomas Schwartz & Fausto Fanizza,6,6397,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",8,Thomas Schwartz & Fausto Fanizza Bird Of Prey (Original Mix),43,14306,N,,Y
16,Sebastien Leger & Tim Green - Duel (Original Mix),,1,Sebastien Leger & Tim Green - Duel (Original Mix) Sebastien Leger,178,24423,Y,1,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,2,Sebastien Leger Sebastien Leger & Tim Green - Duel (Original Mix),110,17617,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,3,Sebastien Leger & Tim Green - Duel (Original Mix) Tim Green,245,20905,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,4,Tim Green Sebastien Leger & Tim Green - Duel (Original Mix),246,16215,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,5,Sebastien Leger & Tim Green - Duel (Original Mix) Sebastien Leger Tim Green,177,22619,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,6,Sebastien Leger Tim Green Sebastien Leger & Tim Green - Duel (Original Mix),128,18080,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,7,Sebastien Leger & Tim Green - Duel (Original Mix) Sebastien Leger & Tim Green,178,20590,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,8,Sebastien Leger & Tim Green Sebastien Leger & Tim Green - Duel (Original Mix),178,22488,N,,Y
17,Limba La (Extended Mix)  www.electronicfresh.com,Somelee,1,Limba La (Extended Mix)  www.electronicfresh.com Somelee,6,6477,Y,2,N
17,Limba La (Extended Mix)  www.electronicfresh.com,Somelee,2,Somelee Limba La (Extended Mix)  www.electronicfresh.com,14,15856,N,,Y
18,Mujer (feat. Meta),Xinobi,1,Mujer (feat. Meta) Xinobi,6,6539,N,,N
18,Mujer (feat. Meta),Xinobi,2,Xinobi Mujer (feat. Meta),16,17083,Y,1,Y
19,Fizzy Pop,"Max Milner, Layla Benitez",1,Fizzy Pop Max Milner,6,7483,Y,1,N
19,Fizzy Pop,"Max Milner, Layla Benitez",2,Max Milner Fizzy Pop,7,9145,N,,Y
20,Honey,"SOAME, Animor",1,Honey SOAME,6,7123,Y,4,N
20,Honey,"SOAME, Animor",2,SOAME Honey,6,16970,N,,Y
21,This Time (Original Mix),"Adam Port, Jennifer Touch",1,This Time (Original Mix) Adam Port,6,6095,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",2,Adam Port This Time (Original Mix),6,6668,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",3,This Time (Original Mix) Jennifer Touch,6,6666,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",4,Jennifer Touch This Time (Original Mix),6,17763,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",5,This Time (Original Mix) Adam Port Jennifer Touch,6,6615,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",6,Adam Port Jennifer Touch This Time (Original Mix),75,16488,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",7,This Time (Original Mix) Adam Port & Jennifer Touch,6,7293,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",8,Adam Port & Jennifer Touch This Time (Original Mix),75,15678,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",9,This Time Adam Port,6,7844,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",10,Adam Port This Time,6,7760,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",11,This Time Jennifer Touch,6,7962,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",12,Jennifer Touch This Time,6,16210,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",13,This Time Adam Port Jennifer Touch,6,7509,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",14,Adam Port Jennifer Touch This Time,55,18646,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",15,This Time Adam Port & Jennifer Touch,6,7462,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",16,Adam Port & Jennifer Touch This Time,75,17232,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",17,This Time (Original Mix) (Original Mix) Adam Port,6,6691,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",18,Adam Port This Time (Original Mix) (Original Mix),6,6740,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",19,This Time (Original Mix) (Original Mix) Jennifer Touch,29,14684,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",20,Jennifer Touch This Time (Original Mix) (Original Mix),6,14520,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",21,This Time (Original Mix) (Original Mix) Adam Port Jennifer Touch,6,6795,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",22,Adam Port Jennifer Touch This Time (Original Mix) (Original Mix),0,6026,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",23,This Time (Original Mix) (Original Mix) Adam Port & Jennifer Touch,6,6600,N,,N
