playlist_index,original_title,original_artists,beatport_title,beatport_artists,beatport_key,beatport_key_camelot,beatport_year,beatport_bpm,beatport_label,beatport_genres,beatport_release,beatport_release_date,beatport_track_id,beatport_url,title_sim,artist_sim,match_score,confidence,search_query_index,search_stop_query_index,candidate_index
1,The Night is Blue,Tim Green,The Night is Blue Original Mix,Tim Green,G Major,9B,2023,120,All Day I Dream,Organic House,,2023-07-21,17873711,https://www.beatport.com/track/the-night-is-blue/17873711,100.0,100,106.5,high,1,2,1
2,(F) Planet 9,Adam Port,,,,,,,,,,,,,0,0,0.0,low,0,0,0
3,"Planet 9 ",Adam Port,Planet 9 Original Mix,Adam Port,Eb Major,5B,2021,122,Songbird,"Melodic House & Techno, Afro House, Organic House, Progressive House",,2021-08-27,15570714,https://www.beatport.com/track/planet-9/15570714,100.0,100,106.5,high,1,2,10
4,[3] (F) Never Sleep Again (Keinemusik Remix),Solomun,Never Sleep Again Keinemusik Remix,"Solomun, ME, Rampa, Adam Port, Keinemusik, Sleep Again Keinemusik",G Minor,6A,2022,120,NINL,"Melodic House & Techno, Afro House, Organic House",,2022-12-02,17096435,https://www.beatport.com/track/never-sleep-again/17096435,100.0,100,111.5,high,11,11,1
5,[5] Tighter (Whitesquare Extended Remix),HOSH Jalja,Tighter (feat. Jalja) Whitesquare Extended Remix,"HOSH, Jalja, Whitesquare",F Major,7B,2021,124,Three Six Zero Recordings,Indie Dance,,2021-10-08,15663218,https://www.beatport.com/track/tighter-feat-jalja/15663218,100.0,100,93.5,med,1,5,1
6,[8-9] Tighter (CamelPhat Remix),"HOSH, CamelPhat",,,,,,,,,,,,,0,0,0.0,low,0,0,0
7,[7-8] Batonga (Extended Mix),"Bontan, AMEME, Don Bello Ni",Batonga Extended Mix,"Bontan, AMEME, Don Bello Ni",A Major,11B,2023,125,One Tribe Records,"Afro House, Organic House, Afro House|Afro / Latin",,2023-05-26,17704790,https://www.beatport.com/track/batonga/17704790,100.0,100,107.5,high,1,12,106
8,Bass Bousa (Original Mix),Nick Morgan,Bass Bousa Original Mix,Nick Morgan,Bb Minor,3A,2023,124,Rumors,"Melodic House & Techno, Afro House, Afro House|Afro / Latin, Progressive House, Organic House",,2023-10-27,18205681,https://www.beatport.com/track/bass-bousa/18205681,100.0,100,108.5,high,2,6,121
9,Night Tales (Original Mix),Bross (RO),Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,"Deep House, House",,2019-08-09,12327901,https://www.beatport.com/track/night-tales/12327901,100.0,100,108.5,high,1,6,8
10,Mystika (Original Mix),DSF,Mystika Original Mix,DSF,A# Minor,3A,2019,120,All Day I Dream,"Deep House, House",,2019-07-05,12075117,https://www.beatport.com/track/mystika/12075117,100.0,100,108.5,high,1,6,11
11,Sebastien Leger - Son of Sun (Orginal Mix),,Son of Sun Original Mix,Sebastien Leger,F Minor,4A,2021,121,All Day I Dream,"Organic House, Melodic House & Techno",,2021-08-06,15351500,https://www.beatport.com/track/son-of-sun/15351500,100.0,100,88.5,med,1,8,147
