playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/i-wanna-go/22236530,22236530,I Wanna Go John Summit Extended Remix,"Britney Spears, John Summit",D Minor,7A,2025,138,Experts Only,Dance / Pop,,2025-10-17,21.276595744680847,26,23.4,0,0,24.4,N,guard_low_artist_high_title_required,1,(F) Planet 9 Adam Port,10,5262,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/changes-adam-port-remix/10170797,10170797,Changes Adam Port Remix,"Stereo MC's, Adam Port, Changes Adam Port",E Major,12B,2018,122,Freerange Records,"Deep House, House",,2018-01-19,30.303030303030297,100,61.7,0,0,59.7,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,1,6495,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/sonnenfinsternis-original-mix/8049671,8049671,Sonnenfinsternis Original Mix,Adam Port,G Major,9B,2016,90,Keinemusik,"Tech House, House",,2016-06-24,23.07692307692308,100,57.7,0,0,82.7,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,3,6713,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/cry-for-you/21531599,21531599,Cry For You Extended Mix,SIDEPIECE,E Major,12B,2025,132,LIP SERVICE,Dance / Pop,,2025-09-26,28.57142857142857,22,25.6,0,0,50.6,N,guard_artist_sim_no_overlap,1,(F) Planet 9 Adam Port,9,6914,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/sonnenfinsternis/8049671,8049671,Sonnenfinsternis Original Mix,Adam Port,G Major,9B,2016,90,Keinemusik,"Tech House, House",,2016-06-24,23.07692307692308,100,57.7,0,0,82.7,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,4,6999,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/love-songs-feat-kosmo-kint/21977538,21977538,Love Songs (feat. Kosmo Kint) Extended Mix,"Prospa, Kosmo Kint",Bb Minor,3A,2025,127,CircoLoco Records,"House, Tech House, Deep House, Minimal / Deep Tech|Minimal House, UK Garage / Bassline",,2025-10-03,20.0,26,22.7,0,0,1.7,N,guard_low_artist_high_title_required,1,(F) Planet 9 Adam Port,8,7190,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/diet-coke/22095452,22095452,Diet Coke Extended Mix,Fallon (IE),D Major,10B,2025,128,Experts Only,"Tech House, Bass House, UK Garage / Bassline, House",,2025-10-10,31.578947368421055,22,27.3,0,0,6.3,N,guard_artist_sim_no_overlap,1,(F) Planet 9 Adam Port,7,7482,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/adam-port-working-for-it-feat-jennifer-touch-original-mix/8049672,8049672,Working For It Feat. Jennifer Touch Original Mix,"Adam Port, Jennifer Touch",G Major,9B,2016,122,Keinemusik,"Deep House, House",,2016-06-24,25.0,100,58.8,0,0,83.8,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,6,10181,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/white-noise-romantica-original-mix/13602014,13602014,White Noise Romantica Original Mix,Adam Port,C Major,8B,2020,121,Keinemusik,"Melodic House & Techno, Afro House, Organic House",,2020-05-29,25.80645161290323,100,59.2,0,0,28.2,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,2,10605,N
2,(F) Planet 9,Adam Port,https://www.beatport.com/track/tonight/8049673,8049673,"Tonight Adam Port 12"" Autobahn Edit","Adam Port, Here Is Why",B Minor,10A,2016,122,Keinemusik,"Indie Dance, House, Nu Disco / Disco",,2016-06-24,25.641025641025635,100,59.1,0,0,46.1,N,guard_short_title_high_floor,1,(F) Planet 9 Adam Port,5,10980,N
