playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/beekind-original-mix/13536195,13536195,,,,,,,,,,,0.0,0,0.0,0,0,1.0,N,no_title,1,Night Tales (Original Mix) Bross (RO),5,525,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/11324958,11324958,Night Tales Original Mix,Hoolz,B Minor,10A,2018,123,KitchenSync Records,"Electronica, Downtempo",,2018-12-12,100.0,30,68.5,0,0,77.0,Y,,1,Night Tales (Original Mix) Bross (RO),3,1588,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/retreat/12155545,12155545,Retreat Original Mix,Danny Howells,D# Minor,2A,2019,124,8Bit,"Deep House, House, House|Acid, Minimal / Deep Tech",,2019-07-29,22.22222222222223,19,20.8,0,0,27.8,N,guard_artist_sim_no_overlap,1,Night Tales (Original Mix) Bross (RO),6,1658,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales/12327901,12327901,Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,Deep House,,2019-08-09,100.0,100,100.0,0,0,108.5,Y,,1,Night Tales (Original Mix) Bross (RO),2,2832,Y
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/beekind/13074460,13074460,BeeKind Original Mix,Bross (RO),E Major,12B,2020,120,COYA MUSIC,"Afro House, Organic House, Afro House|Afro / Latin, Melodic House & Techno",,2020-02-06,11.111111111111114,100,51.1,0,0,58.1,N,guard_short_title_high_floor,1,Night Tales (Original Mix) Bross (RO),4,2912,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/night-tales-original-mix/12327901,12327901,Night Tales Original Mix,"Bross (RO), VICTHOR",F Major,7B,2019,120,All Day I Dream,Deep House,,2019-08-09,100.0,100,100.0,0,0,108.5,Y,,1,Night Tales (Original Mix) Bross (RO),1,3035,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/cutting-chords/11998421,11998421,Cutting Chords Original Mix,Death on the Balcony,A Minor,8A,2019,120,Kindisch,"Deep House, House",,2019-05-31,24.0,28,25.8,0,0,32.8,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),5,3264,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/attraction/14472531,14472531,Attraction Birds of Mind Remix,"DSF, Birds of Mind",A# Minor,3A,2020,123,Melody Of the Soul,"Organic House, Melodic House & Techno",,2020-12-04,19.512195121951223,47,31.9,0,0,26.9,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),14,4216,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/kalyana/14007338,14007338,Kalyāṇa Original Mix,Soul Of Void,C Minor,5A,2020,119,ODYSSEY,"Organic House, Afro House, Afro House|Afro Melodic",,2020-08-21,22.22222222222223,40,30.2,0,0,37.2,N,guard_low_artist_high_title_required,2,Bross (RO) Night Tales (Original Mix),12,4277,N
1,Night Tales (Original Mix),Bross (RO),https://www.beatport.com/track/azteca/11883827,11883827,Azteca Original Mix,VICTHOR,D Minor,7A,2019,118,COYA MUSIC,"Tech House, House",,2019-05-01,23.529411764705884,26,24.6,0,0,31.6,N,guard_artist_sim_no_overlap,2,Bross (RO) Night Tales (Original Mix),6,4595,N
