playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
1,Night Tales (Original Mix),Bross (RO),1,Night Tales (Original Mix) Bross (RO),6,7625,Y,2,N
1,Night Tales (Original Mix),Bross (RO),2,Bross (RO) Night Tales (Original Mix),46,18119,N,,N
1,Night Tales (Original Mix),Bross (RO),3,Night Tales Bross (RO),6,6860,N,,N
1,Night Tales (Original Mix),Bross (RO),4,Bross (RO) Night Tales,33,16871,N,,N
1,Night Tales (Original Mix),Bross (RO),5,Night Tales (Original Mix) (Original Mix) Bross (RO),6,6535,N,,N
1,Night Tales (Original Mix),Bross (RO),6,Bross (RO) Night Tales (Original Mix) (Original Mix),0,6904,N,,Y
2,Mystika (Original Mix),DSF,1,Mystika (Original Mix) DSF,0,7361,N,,N
2,Mystika (Original Mix),DSF,2,DSF Mystika (Original Mix),6,6255,Y,1,N
2,Mystika (Original Mix),DSF,3,Mystika DSF,6,8287,N,,N
2,Mystika (Original Mix),DSF,4,DSF Mystika,6,17799,N,,N
2,Mystika (Original Mix),DSF,5,Mystika (Original Mix) (Original Mix) DSF,0,7076,N,,N
2,Mystika (Original Mix),DSF,6,DSF Mystika (Original Mix) (Original Mix),6,7778,N,,Y
3,The Night is Blue,Tim Green,1,The Night is Blue Tim Green,6,23622,N,,N
3,The Night is Blue,Tim Green,2,Tim Green The Night is Blue,153,27412,Y,20,Y
4,Sebastien Leger - Son of Sun (Orginal Mix),,1,Sebastien Leger - Son of Sun (Orginal Mix) Sebastien Leger,0,7826,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,2,Sebastien Leger Sebastien Leger - Son of Sun (Orginal Mix),16,20712,Y,1,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,3,Son of Sun Sebastien Leger,135,21269,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,4,Sebastien Leger Son of Sun,46,17883,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,5,Son of Sun (Orginal Mix) Sebastien Leger,6,6908,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,6,Sebastien Leger Son of Sun (Orginal Mix),32,19131,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,7,Sebastien Leger - Son of Sun Sebastien Leger,0,9441,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,8,Sebastien Leger Sebastien Leger - Son of Sun,30,21858,N,,Y
5,Matangi,Makebo,1,Matangi Makebo,0,7712,N,,N
5,Matangi,Makebo,2,Makebo Matangi,47,20675,Y,1,Y
6,Never Been,"Gorje Hewek, Amonita, Makebo",1,Never Been Gorje Hewek,7,3745,Y,1,N
6,Never Been,"Gorje Hewek, Amonita, Makebo",2,Gorje Hewek Never Been,16,20559,N,,Y
7,The Love Goes First (Original Mix),Maxi Degrassi,1,The Love Goes First (Original Mix) Maxi Degrassi,6,7577,Y,1,N
7,The Love Goes First (Original Mix),Maxi Degrassi,2,Maxi Degrassi The Love Goes First (Original Mix),39,24123,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,3,The Love Goes First Maxi Degrassi,6,8486,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,4,Maxi Degrassi The Love Goes First,31,20652,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,5,The Love Goes First (Original Mix) (Original Mix) Maxi Degrassi,6,7147,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,6,Maxi Degrassi The Love Goes First (Original Mix) (Original Mix),54,16811,N,,Y
8,Fatoumata (Original Mix),Volen Sentir,1,Fatoumata (Original Mix) Volen Sentir,6,7630,Y,3,N
8,Fatoumata (Original Mix),Volen Sentir,2,Volen Sentir Fatoumata (Original Mix),6,16288,N,,N
8,Fatoumata (Original Mix),Volen Sentir,3,Fatoumata Volen Sentir,6,9658,N,,N
8,Fatoumata (Original Mix),Volen Sentir,4,Volen Sentir Fatoumata,6,18001,N,,N
8,Fatoumata (Original Mix),Volen Sentir,5,Fatoumata (Original Mix) (Original Mix) Volen Sentir,6,6439,N,,N
8,Fatoumata (Original Mix),Volen Sentir,6,Volen Sentir Fatoumata (Original Mix) (Original Mix),0,7550,N,,Y
9,Honey (feat Animor - original mix),Soame,1,Honey (feat Animor - original mix) Soame,6,8290,Y,4,N
9,Honey (feat Animor - original mix),Soame,2,Soame Honey (feat Animor - original mix),6,14802,N,,N
9,Honey (feat Animor - original mix),Soame,3,Honey Soame,0,8556,N,,N
9,Honey (feat Animor - original mix),Soame,4,Soame Honey,6,17558,N,,N
9,Honey (feat Animor - original mix),Soame,5,Honey (feat Animor - original mix) (Original Mix) Soame,6,7195,N,,N
9,Honey (feat Animor - original mix),Soame,6,Soame Honey (feat Animor - original mix) (Original Mix),6,14843,N,,N
9,Honey (feat Animor - original mix),Soame,7,Honey (Original Mix) Soame,0,7000,N,,N
9,Honey (feat Animor - original mix),Soame,8,Soame Honey (Original Mix),6,14811,N,,Y
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,1,Sunday Morning Juno Francis,0,8457,N,,N
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,2,Juno Francis Sunday Morning,35,34949,Y,1,Y
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",1,Don't Call (Guy Gerber Rework) Guy Gerber,160,25592,Y,1,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",2,Guy Gerber Don't Call (Guy Gerber Rework),160,17691,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",3,Don't Call (Guy Gerber Rework) Desire,6,14433,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",4,Desire Don't Call (Guy Gerber Rework),152,30027,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",5,Don't Call (Guy Gerber Rework) Guy Gerber Desire,160,23935,N,,Y
12,[3] Speed Of Sound,"El Mundo, Zazou",1,[3] Speed Of Sound El Mundo,16,27034,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",2,El Mundo [3] Speed Of Sound,6,8747,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",3,[3] Speed Of Sound Zazou,6,18274,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",4,Zazou [3] Speed Of Sound,31,26997,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",5,[3] Speed Of Sound El Mundo Zazou,63,28116,Y,9,Y
13,Guava (Extended Mix),Tunnelvisions,1,Guava (Extended Mix) Tunnelvisions,6,6287,Y,2,N
13,Guava (Extended Mix),Tunnelvisions,2,Tunnelvisions Guava (Extended Mix),14,16801,N,,Y
