playlist_index,original_title,original_artists,candidate_url,candidate_track_id,candidate_title,candidate_artists,candidate_key,candidate_key_camelot,candidate_year,candidate_bpm,candidate_label,candidate_genres,candidate_release,candidate_release_date,title_sim,artist_sim,base_score,bonus_year,bonus_key,final_score,guard_ok,reject_reason,search_query_index,search_query_text,candidate_index,elapsed_ms,winner
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/gauntlet/11080577,11080577,,,,,,,,,,,0.0,0,0.0,0,0,-13.0,N,no_title,2,Adam Port (F) Planet 9,4,421,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/changes-adam-port-remix/10170797,10170797,Changes Adam Port Remix,"Stereo MC's, Adam Port, Changes Adam Port",E Major,12B,2018,122,Freerange Records,"Deep House, House",,2018-01-19,30.303030303030297,100,61.7,0,0,59.7,N,guard_short_title_high_floor,2,Adam Port (F) Planet 9,1,1126,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/voyage/8217313,8217313,Voyage Original Mix,Adam Port,E Major,12B,2016,123,Play It Down,"Tech House, House, House|Acid",,2016-08-26,25.0,100,58.8,0,0,45.8,N,guard_short_title_high_floor,2,Adam Port (F) Planet 9,5,1188,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/mountains-of-the-mind-bloem-remix/10763836,10763836,Mountains Of The Mind Bloem Remix,"BLOND:ISH, Bloem, The Mind Bloem",C Major,8B,2018,122,Warung Recordings,"Deep House, House, Minimal / Deep Tech",,2018-07-16,27.906976744186053,26,27.0,0,0,49.0,N,guard_artist_sim_no_overlap,2,Adam Port (F) Planet 9,3,2122,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/a-state-nearby-adam-port-calypso-instrumental-mix/10276600,10276600,A State Nearby Adam Port Calypso Instrumental Mix,"Stella, NTEIBINT, Adam Port",F Major,7B,2018,118,Eskimo Recordings,"Afro House, Melodic House & Techno",,2018-03-23,23.728813559322035,100,58.1,0,0,42.1,N,guard_short_title_high_floor,2,Adam Port (F) Planet 9,2,2184,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/white-noise-romantica-original-mix/13602014,13602014,White Noise Romantica Original Mix,Adam Port,C Major,8B,2020,121,Keinemusik,"Melodic House & Techno, Afro House",,2020-05-29,25.80645161290323,100,59.2,0,0,28.2,N,guard_short_title_high_floor,2,Adam Port (F) Planet 9,6,2559,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/lost-battleships-adam-port-remix/3186620,3186620,,,,,,,,,,,0.0,0,0.0,0,0,-13.0,N,no_title,3,Planet 9 Adam Port,5,157,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/houdini/18533783,18533783,Houdini Adam Port Mix,"Dua Lipa, Adam Port",D Minor,7A,2023,119,Warner Records,Dance / Pop,,2023-12-22,25.80645161290323,100,59.2,0,0,46.2,N,guard_short_title_high_floor,3,Planet 9 Adam Port,12,1273,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/a-012/10887569,10887569,[A] 012 Original Mix,Armonica,A Major,11B,2018,120,Variety Music,"Melodic House & Techno, Melodic House & Techno|Melodic Techno, Progressive House",,2018-08-10,26.66666666666667,35,30.4,0,0,-0.6,N,guard_low_artist_high_title_required,3,Planet 9 Adam Port,3,1338,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/duelist/13441710,13441710,Duelist Original Mix,DJ Navigare,E Major,12B,2020,128,64 Recordings,"Mainstage|Electro House, Dance / Pop, Mainstage|Future House, Mainstage|Future Rave, Mainstage|Big Room",,2020-04-26,23.529411764705884,30,26.4,0,0,-4.6,N,guard_artist_sim_no_overlap,3,Planet 9 Adam Port,8,1375,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/eorti/10502520,10502520,Eorti Original Mix,Thodoris Triantafillou,E Minor,9A,2018,124,ATLANT,Melodic House & Techno,,2018-06-01,26.66666666666667,25,25.9,0,0,-5.1,N,guard_artist_sim_no_overlap,3,Planet 9 Adam Port,6,1457,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/the-duelist/10183818,10183818,The Duelist Original Mix,Man Power,B Minor,10A,2018,125,DGTL,"House, Indie Dance, Tech House, Indie Dance|Dark Disco, House|Acid",,2018-02-09,19.04761904761905,55,35.2,0,0,4.2,N,guard_short_title_high_floor,3,Planet 9 Adam Port,9,1658,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/duelist/19246518,19246518,Duelist Original Mix,Kyparis,F Minor,4A,2024,126,Mix Studio Recordings,"Melodic House & Techno|Melodic Techno, Melodic House & Techno, Melodic House & Techno|Melodic House",,2024-08-05,23.529411764705884,25,24.2,0,0,-6.8,N,guard_artist_sim_no_overlap,3,Planet 9 Adam Port,7,1880,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/survivor/11646078,11646078,Survivor Extended Mix,Jack Back,D# Minor,2A,2019,125,DFTD,"House, Bass House, Tech House, Nu Disco / Disco, Deep House",,2019-03-22,0.0,22,9.9,0,0,-11.1,N,guard_artist_sim_no_overlap,3,Planet 9 Adam Port,11,2300,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/feeling/16319283,16319283,Feeling Extended Mix,Jack Back,G Major,9B,2022,125,Defected,"House, Deep House, Tech House",,2022-03-25,35.294117647058826,22,29.3,0,0,54.3,N,guard_artist_sim_no_overlap,3,Planet 9 Adam Port,10,2405,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/do-you-still-think-of-me/10761985,10761985,Do You Still Think Of Me? Original Mix,Adam Port,A Major,11B,2018,122,Keinemusik,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2018-07-20,29.411764705882348,100,61.2,0,0,86.2,N,guard_short_title_high_floor,3,Planet 9 Adam Port,14,2496,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/positions/20674436,20674436,Positions Extended,"Adam Port, Stryv, Malachiii",Ab Minor,1A,2025,122,"Stryv, Malachiii, Adam Port","Afro House, Afro House|Afro Melodic",,2025-06-27,21.42857142857143,100,56.8,0,0,40.8,N,guard_short_title_high_floor,3,Planet 9 Adam Port,19,1223,N
31,(F) Planet 9,Adam Port,https://www.beatport.com/track/no-dancers/12074991,12074991,No Dancers Adam Port Remix,"Cubicolor, Adam Port, Dancers Adam Port",F# Minor,11A,2019,120,Anjunadeep,"Melodic House & Techno, Afro House, Melodic House & Techno|Melodic House",,2019-06-18,27.77777777777777,100,60.3,0,0,58.3,N,guard_short_title_high_floor,3,Planet 9 Adam Port,13,3074,N
