playlist_index,original_title,original_artists,search_query_index,search_query_text,candidate_count,elapsed_ms,is_winner,winner_candidate_index,is_stop
1,Night Tales (Original Mix),Bross (RO),1,Night Tales (Original Mix) Bross (RO),15,2910,Y,1,N
1,Night Tales (Original Mix),Bross (RO),2,Bross (RO) Night Tales (Original Mix),33,7484,N,,N
1,Night Tales (Original Mix),Bross (RO),3,Night Tales Bross (RO),6,2261,N,,N
1,Night Tales (Original Mix),Bross (RO),4,Bross (RO) Night Tales,25,8419,N,,N
1,Night Tales (Original Mix),Bross (RO),5,Night Tales (Original Mix) (Original Mix) Bross (RO),6,2541,N,,N
1,Night Tales (Original Mix),Bross (RO),6,Bross (RO) Night Tales (Original Mix) (Original Mix),24,7348,N,,Y
2,Mystika (Original Mix),DSF,1,Mystika (Original Mix) DSF,6,2885,Y,1,N
2,Mystika (Original Mix),DSF,2,DSF Mystika (Original Mix),6,2860,N,,N
2,Mystika (Original Mix),DSF,3,Mystika DSF,6,3656,N,,N
2,Mystika (Original Mix),DSF,4,DSF Mystika,13,14469,N,,N
2,Mystika (Original Mix),DSF,5,Mystika (Original Mix) (Original Mix) DSF,6,1973,N,,N
2,Mystika (Original Mix),DSF,6,DSF Mystika (Original Mix) (Original Mix),50,12368,N,,Y
3,The Night is Blue,Tim Green,1,The Night is Blue Tim Green,10,3569,Y,1,N
3,The Night is Blue,Tim Green,2,Tim Green The Night is Blue,6,3676,N,,Y
4,Sebastien Leger - Son of Sun (Orginal Mix),,1,Sebastien Leger - Son of Sun (Orginal Mix) Sebastien Leger,6,12522,Y,2,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,2,Sebastien Leger Sebastien Leger - Son of Sun (Orginal Mix),16,11881,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,3,Son of Sun Sebastien Leger,135,10346,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,4,Sebastien Leger Son of Sun,33,9084,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,5,Son of Sun (Orginal Mix) Sebastien Leger,6,5852,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,6,Sebastien Leger Son of Sun (Orginal Mix),6,5463,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,7,Sebastien Leger - Son of Sun Sebastien Leger,38,7956,N,,N
4,Sebastien Leger - Son of Sun (Orginal Mix),,8,Sebastien Leger Sebastien Leger - Son of Sun,48,11200,N,,Y
5,Matangi,Makebo,1,Matangi Makebo,15,2882,Y,1,N
5,Matangi,Makebo,2,Makebo Matangi,44,13414,N,,Y
6,Never Been,"Gorje Hewek, Amonita, Makebo",1,Never Been Gorje Hewek,15,13590,Y,7,N
6,Never Been,"Gorje Hewek, Amonita, Makebo",2,Gorje Hewek Never Been,15,10795,N,,Y
7,The Love Goes First (Original Mix),Maxi Degrassi,1,The Love Goes First (Original Mix) Maxi Degrassi,6,4022,Y,1,N
7,The Love Goes First (Original Mix),Maxi Degrassi,2,Maxi Degrassi The Love Goes First (Original Mix),41,10410,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,3,The Love Goes First Maxi Degrassi,6,3398,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,4,Maxi Degrassi The Love Goes First,6,6703,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,5,The Love Goes First (Original Mix) (Original Mix) Maxi Degrassi,6,2632,N,,N
7,The Love Goes First (Original Mix),Maxi Degrassi,6,Maxi Degrassi The Love Goes First (Original Mix) (Original Mix),120,14458,N,,Y
8,Fatoumata (Original Mix),Volen Sentir,1,Fatoumata (Original Mix) Volen Sentir,6,3457,Y,5,N
8,Fatoumata (Original Mix),Volen Sentir,2,Volen Sentir Fatoumata (Original Mix),6,6648,N,,N
8,Fatoumata (Original Mix),Volen Sentir,3,Fatoumata Volen Sentir,0,3205,N,,N
8,Fatoumata (Original Mix),Volen Sentir,4,Volen Sentir Fatoumata,6,7901,N,,N
8,Fatoumata (Original Mix),Volen Sentir,5,Fatoumata (Original Mix) (Original Mix) Volen Sentir,0,2248,N,,N
8,Fatoumata (Original Mix),Volen Sentir,6,Volen Sentir Fatoumata (Original Mix) (Original Mix),6,6998,N,,Y
9,Honey (feat Animor - original mix),Soame,1,Honey (feat Animor - original mix) Soame,6,3841,Y,2,N
9,Honey (feat Animor - original mix),Soame,2,Soame Honey (feat Animor - original mix),6,5598,N,,N
9,Honey (feat Animor - original mix),Soame,3,Honey Soame,6,3436,N,,N
9,Honey (feat Animor - original mix),Soame,4,Soame Honey,6,8301,N,,N
9,Honey (feat Animor - original mix),Soame,5,Honey (feat Animor - original mix) (Original Mix) Soame,6,2146,N,,N
9,Honey (feat Animor - original mix),Soame,6,Soame Honey (feat Animor - original mix) (Original Mix),6,6090,N,,N
9,Honey (feat Animor - original mix),Soame,7,Honey (Original Mix) Soame,6,2371,N,,N
9,Honey (feat Animor - original mix),Soame,8,Soame Honey (Original Mix),6,5126,N,,Y
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,1,Sunday Morning Juno Francis,6,3467,Y,1,N
10,Sunday Morning,Juno Francis feat. Alejandro Molinari,2,Juno Francis Sunday Morning,35,12250,N,,Y
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",1,Don't Call (Guy Gerber Rework) Guy Gerber,160,18796,Y,1,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",2,Guy Gerber Don't Call (Guy Gerber Rework),111,12921,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",3,Don't Call (Guy Gerber Rework) Desire,34,20665,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",4,Desire Don't Call (Guy Gerber Rework),7,5130,N,,N
11,Don't Call (Guy Gerber Rework),"Guy Gerber, Desire",5,Don't Call (Guy Gerber Rework) Guy Gerber Desire,6,5450,N,,Y
12,[3] Speed Of Sound,"El Mundo, Zazou",1,[3] Speed Of Sound El Mundo,16,13709,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",2,El Mundo [3] Speed Of Sound,6,3942,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",3,[3] Speed Of Sound Zazou,8,9074,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",4,Zazou [3] Speed Of Sound,56,15525,N,,N
12,[3] Speed Of Sound,"El Mundo, Zazou",5,[3] Speed Of Sound El Mundo Zazou,23,14762,Y,9,Y
13,Guava (Extended Mix),Tunnelvisions,1,Guava (Extended Mix) Tunnelvisions,6,2816,Y,2,N
13,Guava (Extended Mix),Tunnelvisions,2,Tunnelvisions Guava (Extended Mix),6,5917,N,,Y
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,1,Flip Of The Coin (feat Zoe Kypri - extended mix) Bajau,0,2500,N,,N
14,Flip Of The Coin (feat Zoe Kypri - extended mix),Bajau,2,Bajau Flip Of The Coin (feat Zoe Kypri - extended mix),6,6696,Y,1,Y
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",1,Bird Of Prey (Original Mix) Thomas Schwartz,6,2321,Y,2,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",2,Thomas Schwartz Bird Of Prey (Original Mix),59,12523,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",3,Bird Of Prey (Original Mix) Fausto Fanizza,6,2274,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",4,Fausto Fanizza Bird Of Prey (Original Mix),43,16627,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",5,Bird Of Prey (Original Mix) Thomas Schwartz Fausto Fanizza,0,2412,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",6,Thomas Schwartz Fausto Fanizza Bird Of Prey (Original Mix),43,8852,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",7,Bird Of Prey (Original Mix) Thomas Schwartz & Fausto Fanizza,6,2735,N,,N
15,Bird Of Prey (Original Mix),"Thomas Schwartz, Fausto Fanizza",8,Thomas Schwartz & Fausto Fanizza Bird Of Prey (Original Mix),0,2180,N,,Y
16,Sebastien Leger & Tim Green - Duel (Original Mix),,1,Sebastien Leger & Tim Green - Duel (Original Mix) Sebastien Leger,178,26623,Y,1,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,2,Sebastien Leger Sebastien Leger & Tim Green - Duel (Original Mix),177,17796,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,3,Sebastien Leger & Tim Green - Duel (Original Mix) Tim Green,245,12555,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,4,Tim Green Sebastien Leger & Tim Green - Duel (Original Mix),6,5291,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,5,Sebastien Leger & Tim Green - Duel (Original Mix) Sebastien Leger Tim Green,178,14433,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,6,Sebastien Leger Tim Green Sebastien Leger & Tim Green - Duel (Original Mix),128,19233,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,7,Sebastien Leger & Tim Green - Duel (Original Mix) Sebastien Leger & Tim Green,178,19526,N,,N
16,Sebastien Leger & Tim Green - Duel (Original Mix),,8,Sebastien Leger & Tim Green Sebastien Leger & Tim Green - Duel (Original Mix),179,18943,N,,Y
17,Limba La (Extended Mix)  www.electronicfresh.com,Somelee,1,Limba La (Extended Mix)  www.electronicfresh.com Somelee,6,2719,Y,2,N
17,Limba La (Extended Mix)  www.electronicfresh.com,Somelee,2,Somelee Limba La (Extended Mix)  www.electronicfresh.com,14,9461,N,,Y
18,Mujer (feat. Meta),Xinobi,1,Mujer (feat. Meta) Xinobi,6,2413,N,,N
18,Mujer (feat. Meta),Xinobi,2,Xinobi Mujer (feat. Meta),16,9885,Y,1,Y
19,Fizzy Pop,"Max Milner, Layla Benitez",1,Fizzy Pop Max Milner,6,2612,Y,1,N
19,Fizzy Pop,"Max Milner, Layla Benitez",2,Max Milner Fizzy Pop,35,10771,N,,Y
20,Honey,"SOAME, Animor",1,Honey SOAME,6,2902,Y,2,N
20,Honey,"SOAME, Animor",2,SOAME Honey,6,8590,N,,Y
21,This Time (Original Mix),"Adam Port, Jennifer Touch",1,This Time (Original Mix) Adam Port,6,2379,Y,1,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",2,Adam Port This Time (Original Mix),6,2210,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",3,This Time (Original Mix) Jennifer Touch,6,2601,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",4,Jennifer Touch This Time (Original Mix),6,10792,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",5,This Time (Original Mix) Adam Port Jennifer Touch,6,2811,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",6,Adam Port Jennifer Touch This Time (Original Mix),7,2459,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",7,This Time (Original Mix) Adam Port & Jennifer Touch,6,2826,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",8,Adam Port & Jennifer Touch This Time (Original Mix),75,9733,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",9,This Time Adam Port,6,3317,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",10,Adam Port This Time,6,4022,N,,N
21,This Time (Original Mix),"Adam Port, Jennifer Touch",11,This Time Jennifer Touch,6,4009,N,,N
